id,x,y,cluster_id
815422340540547000,-22.80205727,39.87112808,5
815930688889352000,-0.582193315,40.44995117,7
815973752785793000,-9.279482841,4.9311409,4
815989154555297000,10.22530651,36.75434875,4
815990335318982000,31.34572411,16.37922096,7
815992069412057000,31.29810715,17.00076294,7
816057920223846000,2.925568104,-28.00230026,1
816068355555815000,-5.846266747,21.94448471,1
816260343391514000,-29.63544464,-36.74069214,1
816264484629184000,36.92233276,22.82167816,4
816265668958031000,-3.006698847,6.879554272,4
816298944456232000,20.53613853,-0.439388007,7
816300003442495000,10.31541157,-38.53350449,1
816324295781740000,-37.36103058,-12.62343407,3
816328314759606000,-27.73693466,-32.54957581,1
816333480409833000,36.07923508,-7.478467464,7
816354639859871000,5.944023132,7.382591724,4
816433590892429000,7.178859711,53.18360138,4
816452807024840000,9.609902382,-18.89431953,4
816620855958601000,25.72189713,27.87420845,4
816632793862176000,-1.825013638,-11.73353863,3
816635078067490000,-7.080313683,16.15555,1
816637064708030000,48.11922455,7.537871361,7
816638194468999000,15.88328934,15.258564,7
816644321768312000,0.576272309,-24.81934166,1
816645831659061000,18.25881767,-13.63006496,4
816652088662958000,20.43593597,-13.22587109,7
816718880731234000,8.955594063,-35.22208405,4
816977032433270000,33.46072006,8.448040009,7
816977937731878000,13.33374691,-17.47195625,4
816979231217483000,36.97455597,-25.32037926,7
816999062562107000,37.59554291,22.76652527,4
817004210529116000,35.59274673,14.9740324,7
817071792711942000,-29.52055931,-36.70366669,1
817164923843280000,10.71385288,8.604372978,4
817166353266262000,-5.834281445,-6.380937576,4
817168818539757000,49.54686356,9.289564133,7
817329823374831000,22.22952652,-13.25349808,1
817334794958807000,24.8771286,-32.88850403,7
817336355193753000,46.73192596,5.543031216,7
817341196251070000,-4.435842991,38.33616638,7
817348644647108000,13.37608624,7.028858662,4
817350726800306000,7.399048805,17.78732109,4
817374875962769000,-17.68364143,11.29043388,4
817413321058029000,-9.718662262,-7.533709049,1
817453219613917000,-18.23945045,29.12933731,1
817522928862502000,-51.70753098,35.33524704,6
817579925771341000,-29.5406971,-13.48249054,1
817701436096126000,12.78060055,-28.2173214,4
817703208567078000,14.93039989,-23.81265259,4
817748207694467000,54.66744995,7.635751724,7
817750330196819000,52.68670654,-2.879539013,7
817753083707015000,4.631481647,-31.47507286,1
817882028272128000,-31.04734802,8.622026443,3
817915516018892000,3.34954834,29.27363777,1
818134360712953000,-46.41441345,18.08872414,5
818134981344165000,36.00868988,4.024043083,7
818136714396975000,1.263468504,14.50591755,3
818169485169410000,14.42633438,-30.10744667,4
818307689323368000,25.73228455,9.359032631,7
818416446527172000,13.29766273,31.43467331,4
818419002548568000,2.64023304,13.49208832,4
818421066859167000,28.10893059,24.99546242,4
818422930157830000,21.32908249,24.03614616,4
818460862675558000,-26.9615593,-35.00234222,1
818461467766824000,-26.90193748,-35.39258957,1
818586286034485000,-44.65184402,1.760742545,3
818643528905621000,-27.10352135,29.7923584,1
818841421364989000,-23.29428101,-39.96372223,3
818922995980845000,-25.44809723,-43.19192886,3
818948254943604000,-25.35782051,-43.18258286,3
818990655418617000,-15.27614975,-0.683760405,3
819000924207251000,-44.9726181,-10.83110905,3
819155311793700000,28.08513069,-23.58547783,4
819159806489591000,42.51223373,24.85278511,7
