id,x,y,cluster_id
870077441401905000,23.65393448,28.52477264,4
870083798981111000,4.56665802,50.9590683,3
870234811616677000,-8.665119171,-19.86395073,1
870355056327000000,-53.86150742,19.16898537,3
870412262900740000,-20.59571266,16.87659836,1
870445001125355000,-22.10710526,67.08000946,5
870709271477932000,-60.24250031,15.98452663,6
871087981225926000,-62.54247284,16.49760056,6
871143765473406000,15.74611473,-7.083104134,7
871145660036378000,46.76693726,12.18130302,7
871325606901895000,37.95422745,-0.957445502,7
871328428963901000,8.16046524,8.636972427,4
871331574649901000,48.3220787,11.22778702,7
871674214356484000,39.61229324,13.02595234,7
871675245043888000,14.58214569,-3.995338678,7
871677472202477000,-4.337619781,-17.76091957,1
871679061847879000,11.0015707,-11.52673244,1
871722020278587000,42.62094879,-3.038741589,7
871725780535062000,17.80766296,18.48508453,4
871830255396192000,-29.81452751,23.51774025,1
871840367070412000,-50.68424606,-9.409852982,3
871899511525961000,40.28722382,-3.905121326,7
872043300949295000,7.178034782,-1.171187997,7
872059997429022000,35.89209366,11.89015865,7
872062159789985000,10.30307961,3.713370562,4
872064426568036000,33.44259644,16.38344383,4
872084870620520000,36.161129,-4.415085793,7
872086906804240000,0.069339521,-23.32803726,1
872147965451882000,-32.56206512,27.96575356,1
872243414930264000,-52.85034943,10.71349144,3
872253002266161000,-50.70481491,-9.350672722,3
872258719404482000,-18.93645096,1.084127188,7
872419018799550000,-20.44593239,11.86894417,4
872427222392504000,-14.56085777,28.69270897,1
873120139222306000,28.12060165,-23.62879753,4
873131235614347000,-14.86081696,39.04199982,5
873183401620230000,-32.24011993,-5.764835358,3
873245481488535000,-36.63489151,31.47404861,3
873250570508922000,-42.65968323,23.17845535,1
873311842956914000,-24.58321571,22.72183228,1
873353586025132000,-29.76642418,-34.03754425,1
873643935993708000,-12.60316181,28.6809597,1
873878061778907000,-39.83401871,-8.149010658,3
873878232264822000,-24.58681297,-33.29808807,1
873879934040780000,25.95059395,16.80311394,7
873884774041079000,41.64204407,-4.024139881,7
874084433460154000,4.462039948,61.71572113,5
874087477807599000,-5.915282249,-33.46831894,1
874218586155479000,-3.673366547,56.65206146,3
874309930232184000,17.12372017,47.57757568,1
874325287143604000,-39.49552536,11.21861935,3
874373283919089000,-36.26462936,28.0922184,1
874418514240688000,-54.83521271,15.83234882,6
874576057579565000,22.4366703,-24.1123333,4
874578159676665000,-13.07544518,-21.08850098,1
874608587473080000,-32.98086166,-10.56192875,3
874609480301936000,4.213740826,-21.21216583,1
874619861019840000,-24.57835197,-34.472332,1
874626492310978000,3.934198618,14.91821098,4
874728484475744000,-24.31421089,-35.30128098,3
874767922295705000,-32.02136612,-3.912160635,1
874822136782880000,-12.95664787,39.2035408,5
874971795362897000,0.846424401,36.02204895,4
874991696186142000,-24.42709351,35.3832283,5
875166406417010000,4.492224216,29.11061287,4
875305788708974000,6.838599682,-16.91803741,4
875321478849363000,4.80745554,-12.90368366,1
875438639823675000,23.58008003,10.37084103,7
875441788110110000,-10.64327717,-2.687670469,4
875468769212149000,-51.71041107,12.49327564,3
875500520840060000,-60.11412048,16.43545341,6
875682853585129000,7.509010315,-19.07728386,4
875690204564258000,21.39031219,-21.93073654,7
