id,x,y,cluster_id
881131368520056000,-13.12968159,27.6969738,1
881135264441257000,14.03850651,14.08021641,4
881137079958241000,29.31050491,-9.377130508,7
881138485905772000,28.220438,14.66285324,7
881140479454310000,14.31709957,7.600236416,4
881256428626956000,-56.54170609,17.49332237,6
881265792700035000,-28.01390457,33.36240005,1
881271748280365000,49.70307922,-4.484276772,7
881271809433374000,15.62853622,-3.578446627,7
881273362454118000,37.42814636,28.81615639,4
881281755017355000,-1.811869502,22.63578987,1
881373634585079000,-22.45771217,34.79882813,7
881503147168071000,-58.02745438,15.42694378,6
881604490041995000,-25.08885384,31.44395828,1
881662619282702000,-17.52316284,-44.16655731,1
881697281233354000,-26.12657356,-6.771648884,1
881830110114009000,7.612262249,47.72854996,7
881834692282109000,-12.99280453,20.40114403,1
881839523126272000,7.611868858,47.72770691,7
881847676232503000,2.763439417,-11.48941135,7
881875263700783000,46.78258514,12.08918858,7
881976958556549000,-16.49225998,36.27580643,5
881979394373406000,22.53614044,-17.12317848,7
881983493533822000,4.942106247,-17.22929382,4
882061157900718000,22.1904583,0.617932856,7
882062572081512000,20.42019463,-10.270751,7
882186896285282000,-56.5387001,15.38506317,6
882325456162361000,-12.67178917,31.66855431,1
882327018070790000,32.25736618,-12.08961868,7
882423634639425000,-56.56665802,15.35422897,6
882552631905988000,-6.172146797,33.98477173,7
882558219285131000,30.07170296,-13.71618843,7
882560030884716000,-2.759325266,27.25155449,7
882741809931309000,-32.28849792,27.05353546,1
882962893288882000,-53.10057068,12.78433228,3
882993144194838000,-19.37452316,-17.36238289,1
883012994145280000,-7.572566032,41.9540863,7
883064346519187000,-15.60311985,9.487112999,1
883218784663818000,-18.47594261,36.71635056,1
883220875444715000,-6.132821083,25.61133957,3
883229270943911000,-5.47064352,-6.738923073,4
883229754077392000,-7.712371349,24.63418579,1
883230130885324000,42.34038925,-5.402402401,7
883444736849305000,-50.69169998,3.982527256,6
883469033059864000,-40.29306412,26.07417297,1
883751888491098000,-7.671514034,42.6316185,7
883752778379792000,8.533127785,32.27872849,4
883760134333378000,-26.34096146,-3.46896553,4
883761448064864000,-5.934033394,25.62581062,1
883845492790235000,-37.36574173,53.6737442,2
884008221970763000,24.45999336,-9.298789978,7
884012097805406000,21.25819206,29.66680336,4
884013689736769000,21.30274391,-5.601035595,1
884016887692234000,-10.87016678,-5.653008461,4
884018776391503000,18.91003418,9.527304649,7
884020939264073000,32.472435,25.12173653,4
884027201804488000,21.02581787,-7.691184044,4
884033889613828000,-23.93751907,61.29571152,5
884141905436696000,30.50462341,-0.951398671,7
884142582191849000,23.68795395,-6.831796169,7
884211874518192000,35.77788925,22.53240204,4
884361623514656000,-6.358621597,-11.39403629,4
884363456849342000,33.27659988,1.193170667,7
884374529660903000,-5.631563187,25.57951164,4
884378624660582000,7.235841274,21.00059509,4
884728971530829000,34.05421829,3.740130424,7
884740553040175000,-9.44883728,16.69576645,1
884746435039768000,-20.82295227,31.09031105,1
884750055776948000,-38.57878876,-16.53324699,3
884931352201756000,9.422101021,29.0504818,4
885081181980590000,2.552778959,12.09637928,4
885084555421634000,48.58069992,-7.027131557,7
885092844511387000,12.86325455,-8.540184021,1
885109663217352000,-13.25776386,-8.015338898,3
885128373441355000,19.35790062,7.641088486,7
885131482397908000,16.41270256,4.42680788,7
885232527656538000,-11.43896294,-43.83982086,3
885266492765466000,-46.86527634,18.89756775,1
885274148012011000,-16.03615952,-46.11417389,5
885275592681295000,-45.68299103,-41.01745605,6
885278633014812000,-30.73848724,-8.934472084,1
885410010167226000,-49.46562958,17.55567551,3
885481504780013000,-32.23508835,24.62476921,1
885570979975639000,-44.71519089,18.01244354,3
885579818875670000,-39.83594513,15.50502872,1
885769944482414000,-43.40940094,15.49801636,3
885770227514052000,31.39748764,3.768145561,7
885772254017187000,-27.91615868,-13.4842205,3
885772727315030000,34.86318588,-13.44949532,7
885773130723205000,-0.282594949,14.76753044,7
885817217455140000,-40.16500092,22.14326477,1
885856351557210000,-19.52170563,-16.21519852,1
885858247277727000,-27.73146629,-8.55232811,1
885865609971605000,-7.060861111,31.09057426,1
885988016912838000,-8.772506714,24.68405342,4
885992108565291000,-44.93309784,18.24381447,3
886036222308757000,-27.16832542,29.72791672,1
886058483392622000,-2.623411655,32.62475586,1
886259363412926000,-17.86496162,-47.43506241,1
886261674029854000,-15.57676983,-45.84136963,4
886262474277888000,7.194035053,52.97490692,7
886283456644251000,-28.81123543,-9.807321548,1
886319322154586000,-23.93777084,61.29550934,5
886321948275429000,-18.20272446,-44.50504684,1
886421324637380000,-40.14632416,25.96778297,1
886534810575020000,20.8873539,-21.80726051,4
886538703547621000,-16.585289,28.53904724,1
886541955311816000,-5.765566826,2.23829031,4
886544734788997000,-0.195085377,-13.71861362,1
886588838902206000,-6.466152668,-24.01428413,4
886635676787232000,-26.4210968,22.22899055,1
886691926233239000,3.613397837,18.42667961,1
886742955251335000,-40.11735153,23.44446754,3
886743367815766000,-3.580923319,34.19498062,1
886950594220568000,22.06502724,-0.747412384,7
887134287350439000,36.61053848,-29.86005402,7
887279050263285000,25.1650219,4.933466911,7
887280380423938000,53.24720001,1.374193192,7
887299895803203000,6.06956625,-4.437182426,1
887302632687251000,-9.993795395,-55.30807495,1
887475373981696000,-6.48693943,-4.225309849,1
887477071160762000,20.80592155,-26.84729385,4
887650824515661000,8.448142052,-2.957242966,7
887654816507408000,3.390889883,4.031051636,7
887862941109940000,-20.96594429,31.33666992,1
888088029428150000,-44.52644348,11.77740669,3
888128621784838000,-20.6234417,33.44392014,7
888240051599134000,-27.95628357,-36.3187027,3
888393378970439000,-60.55781937,15.5361824,0
888420461075476000,-51.44315338,7.018443108,3
888429879603191000,29.09282875,39.92848206,4
888478670502932000,-25.0049324,-40.62748718,3
888529645381062000,-42.32884216,20.93699265,3
888530948811366000,-42.28737259,20.9136734,1
888575966259314000,4.948520184,29.2335968,4
888708453560184000,-15.12934685,-3.178509951,3
888711488717934000,-4.30608654,-19.43272591,1
888713231065391000,-15.54648304,18.99801064,1
888724194820857000,16.79475403,-24.13785553,4
888726438265966000,-1.960519433,-2.522463799,4
888727293346156000,-16.34819603,-4.264999866,1
888730468732067000,-13.00216389,-2.421677828,3
888733031875346000,30.61935234,29.95379448,4
888734848550043000,-20.16666031,-13.26327515,1
888736256145985000,-1.061538696,1.455997586,4
888771440014749000,-48.402565,18.80725288,3
888841724759597000,-11.5559845,12.24357224,1
888895687865380000,-29.29319191,-35.16853714,1
888924192573235000,-52.37241745,8.996747017,3
889215815022727000,-1.757034659,-5.557300568,4
889217183930351000,16.30137253,-14.83038902,7
889273320574783000,17.37154961,-16.73341942,7
889274373689028000,33.04002762,-0.405120492,7
889279880336166000,-9.967942238,-13.77379322,1
889435104841523000,38.57665634,-19.77924728,7
889438168721874000,12.77808857,-29.05997467,4
889467610332528000,-9.50647831,-5.266861916,1
889473486506385000,-5.622321129,-4.245222569,1
889474780356915000,12.64537525,13.70757675,4
889579795176181000,-48.79084396,12.59605312,3
889599425458327000,-50.58099365,3.878144264,4
889654862379589000,-22.76820755,34.5331955,1
889672374458646000,-12.335536,-9.414658546,1
889673743873843000,26.17059517,-21.22530937,7
889675644396867000,-8.164500237,-7.842736244,4
889788202172780000,-13.11007786,-7.97377634,4
889790429398528000,-13.31411266,-4.863295555,3
889792764363276000,-11.27337646,-9.905713081,1
889794300913045000,-3.364709377,37.30228806,7
889796918615920000,-2.457660675,1.401903987,4
889798407228989000,-27.50962448,47.19957733,5
889800510106107000,-12.12562275,0.825170636,4
889821674987761000,-3.013027668,19.77042198,1
889822411356602000,20.67492485,6.350437641,7
889824817473605000,-3.541459084,41.6361618,7
889867842186649000,23.35572815,11.62868214,7
889871789198802000,-24.50202942,-35.45290756,3
889925142675062000,-47.46020126,15.0539484,3
889929412539543000,-11.66164494,40.81758499,7
889972487844491000,-49.52858353,17.5046196,3
890060370861334000,-28.49456596,33.93517303,5
890069204082151000,-26.34925079,49.58116913,5
890162144884514000,-0.482072145,32.60378265,1
890168183079960000,1.684614182,-11.66137218,1
890193981585444000,17.3870697,-2.149522066,7
890196164313833000,-20.38787842,18.50669098,1
890197095151546000,18.33098984,-8.280036926,7
890207082926022000,-12.42289829,-3.004335403,4
890208319566229000,-11.67482948,-3.372557163,1
890260758050856000,-36.63976669,31.48759842,3
890314337696579000,-28.96238327,32.96433258,5
890361489126805000,-27.70880508,-35.8000412,1
890524387773997000,10.02503014,-21.7071743,1
890533442135502000,34.6240654,5.861306667,7
890566339462672000,8.517351151,-25.73208237,1
890568797941362000,-15.77406311,-5.754150391,4
890642377131515000,7.182919502,-13.40834332,1
890650237060120000,-48.04563522,20.05591393,3
890687451156631000,-31.09267235,29.1613903,1
890705628716466000,-36.92000961,22.47836876,1
890764622852173000,-12.6203146,42.63096237,7
890820505330212000,-1.172219872,-4.430899143,4
890931465885798000,33.43522644,2.162694216,7
890935044474380000,30.17251968,8.739689827,7
890968428370153000,-26.67150688,22.88640404,1
890971233159962000,12.21098995,-6.291364193,1
891038014314598000,20.07109833,34.94260788,4
891039237319143000,-33.36090469,5.148223877,4
891040645581873000,-4.79438448,35.37290955,7
891087485111087000,-26.36707687,23.28918266,1
891253798500487000,-18.58688545,-2.8554492,3
891257113565163000,-10.02726555,-55.2604599,4
891259245106278000,-10.30648041,-54.91325378,4
891260230876659000,34.28192902,2.381661415,7
891261878005092000,3.231907845,3.833759546,7
891263843908947000,33.77912521,2.306048155,7
891332290474848000,6.022735596,-34.31658936,1
891334415347060000,11.18661118,-41.2555809,1
891343645529567000,-18.89057541,-41.06570816,1
891397134662193000,2.317415237,-6.617112637,4
891437168798965000,26.43117523,-22.29816246,4
891440474132795000,5.302031994,-37.49222183,1
891442016294494000,55.4201355,5.385531902,7
891623821702295000,-31.91261673,-10.23027039,1
891996053611917000,36.77475357,22.69868088,7
891998881009061000,-20.60215378,-41.76846313,1
892147656319004000,-13.6107626,17.23424721,1
