id,datetime,sentiment,text,tokens...,,,,,,,,,,,,,,,,,,,,,,,,,,,
860377543878348000,5/05/2017 6:16,0.8,"An honor to welcome PM of Australia, @TurnbullMalcolm to America &amp, join him in marking the 75th Anniversary of the... https://t.co/foMUec7EAE",an,honor,to,welcome,pm,of,australia,@turnbullmalcolm,to,america,&,join,him,in,marking,the,75th,anniversary,of,the,http://...,,,,,,,
860477328882905000,5/05/2017 12:52,0.571875,"Big win in the House - very exciting! But when everything comes together with the inclusion of Phase 2, we will have truly great healthcare!",big,win,in,the,house,-,very,exciting,but,when,everything,comes,together,with,the,inclusion,of,phase,2,we,will,have,truly,great,healthcare,,,
860479885566980000,5/05/2017 13:02,0,"Rather than causing a big disruption in N.Y.C., I will be working out of my home in Bedminster, N.J. this weekend. Also saves country money!",rather,than,causing,a,big,disruption,in,nyc,i,will,be,working,out,of,my,home,in,bedminster,nj,this,weekend,also,saves,country,money,,,
860573284462669000,5/05/2017 19:13,0.35,Of course the Australians have better healthcare than we do --everybody does. ObamaCare is dead! But our healthcare will soon be great.,of,course,the,australians,have,better,healthcare,than,we,do,#NAME?,does,obamacare,is,dead,but,our,healthcare,will,soon,be,great,,,,,,
860577873060651000,5/05/2017 19:32,0,"JOBS, JOBS, JOBS! https://t.co/UR0eetSEnO",jobs,jobs,jobs,http://...,,,,,,,,,,,,,,,,,,,,,,,,
860580764944969000,5/05/2017 19:43,0,#WeeklyAddress🇺🇸 https://t.co/4qckKpbtCR,#weeklyaddress🇺🇸,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,
860635815277453000,5/05/2017 23:22,-0.191666667,"Wow,the Fake News media did everything in its power to make the Republican Healthcare victory look as bad as possible.Far better than Ocare!",wowthe,fake,news,media,did,everything,in,its,power,to,make,the,republican,healthcare,victory,look,as,bad,as,possiblefar,better,than,ocare,,,,,
860637673744195000,5/05/2017 23:29,-0.1125,Why is it that the Fake News rarely reports Ocare is on its last legs and that insurance companies are fleeing for their lives? It's dead!,why,is,it,that,the,fake,news,rarely,reports,ocare,is,on,its,last,legs,and,that,insurance,companies,are,fleeing,for,their,lives,its,dead,,
860638890570416000,5/05/2017 23:34,1,Great jobs report today - It is all beginning to work!,great,jobs,report,today,-,it,is,all,beginning,to,work,,,,,,,,,,,,,,,,,
860987464114110000,6/05/2017 22:39,0.241666667,"The reason I am staying in Bedminster, N. J., a beautiful community, is that staying in NYC is much more expensive and disruptive. Meetings!",the,reason,i,am,staying,in,bedminster,n,j,a,beautiful,community,is,that,staying,in,nyc,is,much,more,expensive,and,disruptive,meetings,,,,
