id,datetime,sentiment,text,tokens...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871899511525961000,6/06/2017 1:20,-0.025,"That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!",thats,right,we,need,a,travel,ban,for,certain,dangerous,countries,not,some,politically,correct,term,that,wont,help,us,protect,our,people,,,,,,
872043300949295000,6/06/2017 10:51,0.021825397,Big meeting today with Republican leadership concerning Tax Cuts and Healthcare. We are all pushing hard - must get it right!,big,meeting,today,with,republican,leadership,concerning,tax,cuts,and,healthcare,we,are,all,pushing,hard,-,must,get,it,right,,,,,,,,
872059997429022000,6/06/2017 11:58,-0.191666667,The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.,the,fake,msm,is,working,so,hard,trying,to,get,me,not,to,use,social,media,they,hate,that,i,can,get,the,honest,and,unfiltered,message,out,
872062159789985000,6/06/2017 12:06,0,During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!,during,my,recent,trip,to,the,middle,east,i,stated,that,there,can,no,longer,be,funding,of,radical,ideology,leaders,pointed,to,qatar,-,look,,,
872064426568036000,6/06/2017 12:15,-0.166666667,"Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH",sorry,folks,but,if,i,would,have,relied,on,the,fake,news,of,cnn,nbc,abc,cbs,washpost,or,nytimes,i,would,have,had,zero,chance,winning,wh,
872084870620520000,6/06/2017 13:36,0.204166667,So good to see the Saudi Arabia visit with the King and 50 countries already paying off. They said they would take a hard line on funding...,so,good,to,see,the,saudi,arabia,visit,with,the,king,and,50,countries,already,paying,off,they,said,they,would,take,a,hard,line,on,funding,,
872086906804240000,6/06/2017 13:44,0,"...extremism, and all reference was pointing to Qatar. Perhaps this will be the beginning of the end to the horror of terrorism!",extremism,and,all,reference,was,pointing,to,qatar,perhaps,this,will,be,the,beginning,of,the,end,to,the,horror,of,terrorism,,,,,,,
872147965451882000,6/06/2017 17:47,0,Today we remember the courage and bravery of our troops that stormed the beaches of Normandy 73 years ago. #DDay... https://t.co/zhR24dMzYB,today,we,remember,the,courage,and,bravery,of,our,troops,that,stormed,the,beaches,of,normandy,73,years,ago,#dday,http://...,,,,,,,,
872243414930264000,7/06/2017 0:06,0.8,"Great meeting with @HouseGOP and @SenateGOP leaders, including @SpeakerRyan, @SenateMajLdr, @GOPLeader, @JohnCornyn... https://t.co/G03W8CEtCS",great,meeting,with,@housegop,and,@senategop,leaders,including,@speakerryan,@senatemajldr,@gopleader,@johncornyn,http://...,,,,,,,,,,,,,,,,
872253002266161000,7/06/2017 0:44,0,#ICYMI: Announcement of Air Traffic Control Initiative Watch➡️https://t.co/IMiZr22gAw,#icymi,announcement,of,air,traffic,control,initiative,watch➡️,http://...,,,,,,,,,,,,,,,,,,,,
872258719404482000,7/06/2017 1:07,0,Senate passed the VA Accountability Act. The House should get this bill to my desk ASAP! We can’t tolerate substandard care for our vets.,senate,passed,the,va,accountability,act,the,house,should,get,this,bill,to,my,desk,asap,we,cant,tolerate,substandard,care,for,our,vets,,,,,
872419018799550000,7/06/2017 11:44,0.443181818,"I will be nominating Christopher A. Wray, a man of impeccable credentials, to be the new Director of the FBI. Details to follow.",i,will,be,nominating,christopher,a,wray,a,man,of,impeccable,credentials,to,be,the,new,director,of,the,fbi,details,to,follow,,,,,,
872427222392504000,7/06/2017 12:17,0.6,"Getting ready to leave for Cincinnati, in the GREAT STATE of OHIO, to meet with ObamaCare victims and talk Healthcare &amp, also Infrastructure!",getting,ready,to,leave,for,cincinnati,in,the,great,state,of,ohio,to,meet,with,obamacare,victims,and,talk,healthcare,&,also,infrastructure,,,,,,
