id,datetime,sentiment,text,tokens...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881976958556549000,3/07/2017 20:44,0.6,Thank you to Shawn Steel for the nice words on @FoxNews.,thank,you,to,shawn,steel,for,the,nice,words,on,@foxnews,,,,,,,,,,,,,,,,,,
881979394373406000,3/07/2017 20:54,0.5,"Really great numbers on jobs &amp, the economy! Things are starting to kick in now, and we have just begun! Don't like steel &amp, aluminum dumping!",really,great,numbers,on,jobs,&,the,economy,things,are,starting,to,kick,in,now,and,we,have,just,begun,dont,like,steel,&,aluminum,dumping,,,
881983493533822000,3/07/2017 21:10,-0.054545455,Dow hit a new intraday all-time high! I wonder whether or not the Fake News Media will so report?,dow,hit,a,new,intraday,all-time,high,i,wonder,whether,or,not,the,fake,news,media,will,so,report,,,,,,,,,,
882061157900718000,4/07/2017 2:19,0.104166667,North Korea has just launched another missile. Does this guy have anything better to do with his life? Hard to believe that South Korea.....,north,korea,has,just,launched,another,missile,does,this,guy,have,anything,better,to,do,with,his,life,hard,to,believe,that,south,korea,,,,,
882062572081512000,4/07/2017 2:24,-0.025,....and Japan will put up with this much longer. Perhaps China will put a heavy move on North Korea and end this nonsense once and for all!,and,japan,will,put,up,with,this,much,longer,perhaps,china,will,put,a,heavy,move,on,north,korea,and,end,this,nonsense,once,and,for,all,,
882186896285282000,4/07/2017 10:38,0,#HappyIndependenceDay #July4 #USA🇺🇸 https://t.co/NsFslPEFrp,#happyindependenceday,#july4,#usa🇺🇸,http://...,,,,,,,,,,,,,,,,,,,,,,,,,
882325456162361000,4/07/2017 19:49,0.3,Getting ready to celebrate the 4th of July with a big crowd at the White House. Happy 4th to everyone. Our country will grow and prosper!,getting,ready,to,celebrate,the,4th,of,july,with,a,big,crowd,at,the,white,house,happy,4th,to,everyone,our,country,will,grow,and,prosper,,,
882327018070790000,4/07/2017 19:55,0,Gas prices are the lowest in the U.S. in over ten years! I would like to see them go even lower.,gas,prices,are,the,lowest,in,the,us,in,over,ten,years,i,would,like,to,see,them,go,even,lower,,,,,,,,
882423634639425000,5/07/2017 2:19,0,#HappyIndependenceDay #USA🇺🇸 https://t.co/9pfqnRsh1Z,#happyindependenceday,#usa🇺🇸,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,
882552631905988000,5/07/2017 10:51,0.1,"Getting ready to leave for Poland, after which I will travel to Germany for the G-20. Will be back on Saturday.",getting,ready,to,leave,for,poland,after,which,i,will,travel,to,germany,for,the,g-20,will,be,back,on,saturday,,,,,,,,
882558219285131000,5/07/2017 11:14,-1,The United States made some of the worst Trade Deals in world history.Why should we continue these deals with countries that do not help us?,the,united,states,made,some,of,the,worst,trade,deals,in,world,historywhy,should,we,continue,these,deals,with,countries,that,do,not,help,us,,,,
882560030884716000,5/07/2017 11:21,0.25,Trade between China and North Korea grew almost 40% in the first quarter. So much for China working with us - but we had to give it a try!,trade,between,china,and,north,korea,grew,almost,40,in,the,first,quarter,so,much,for,china,working,with,us,-,but,we,had,to,give,it,a,try
882741809931309000,5/07/2017 23:23,0,Congratulations to the dedicated professionals of the USSS as they celebrate their 152nd anniversary. Thank you! ➡️https://t.co/mDhFzDm3ED https://t.co/BcB3wLjILg,congratulations,to,the,dedicated,professionals,of,the,usss,as,they,celebrate,their,152nd,anniversary,thank,you,➡️,http://...,http://...,,,,,,,,,,
882962893288882000,6/07/2017 14:02,0,"On behalf of @FLOTUS Melania and myself, thank you Poland!🇺🇸🇵🇱#ICYMI, watch here➡️ https://t.co/COpVXnn8YG #POTUSinPoland https://t.co/ylU3wLZV2H",on,behalf,of,@flotus,melania,and,myself,thank,you,poland🇺🇸🇵🇱,#icymi,watch,here➡️,http://...,#potusinpoland,http://...,,,,,,,,,,,,,
882993144194838000,6/07/2017 16:02,0.8,America is proud to stand shoulder-to-shoulder with Poland in the fight to eradicate the evils of terrorism and extremism. #POTUSinPoland https://t.co/MHxRmVvtsh,america,is,proud,to,stand,shoulder-to-shoulder,with,poland,in,the,fight,to,eradicate,the,evils,of,terrorism,and,extremism,#potusinpoland,http://...,,,,,,,,
883012994145280000,6/07/2017 17:21,-0.5,THE WEST WILL NEVER BE BROKEN. Our values will PREVAIL. Our people will THRIVE and our civilization will TRIUMPH! https://t.co/sozuVgdp5T,the,west,will,never,be,broken,our,values,will,prevail,our,people,will,thrive,and,our,civilization,will,triumph,http://...,,,,,,,,,
883064346519187000,6/07/2017 20:45,0.433333333,"A strong Poland is a blessing to the nations of Europe, and a strong Europe is a blessing to the West, and to the world. https://t.co/vHzPwMtJSm",a,strong,poland,is,a,blessing,to,the,nations,of,europe,and,a,strong,europe,is,a,blessing,to,the,west,and,to,the,world,http://...,,,
883218784663818000,7/07/2017 6:59,0.9,"My experience yesterday in Poland was a great one. Thank you to everyone, including the haters, for the great reviews of the speech!",my,experience,yesterday,in,poland,was,a,great,one,thank,you,to,everyone,including,the,haters,for,the,great,reviews,of,the,speech,,,,,,
883220875444715000,7/07/2017 7:07,0.8,"After Poland had a great meeting with Chancellor Merkel and then with PM Shinzō Abe of Japan &amp, President Moon of South Korea.",after,poland,had,a,great,meeting,with,chancellor,merkel,and,then,with,pm,shinzō,abe,of,japan,&,president,moon,of,south,korea,,,,,,
883229270943911000,7/07/2017 7:40,0,Everyone here is talking about why John Podesta refused to give the DNC server to the FBI and the CIA. Disgraceful!,everyone,here,is,talking,about,why,john,podesta,refused,to,give,the,dnc,server,to,the,fbi,and,the,cia,disgraceful,,,,,,,,
883229754077392000,7/07/2017 7:42,0.2,"I look forward to all meetings today with world leaders, including my meeting with Vladimir Putin. Much to discuss.#G20Summit #USA🇺🇸",i,look,forward,to,all,meetings,today,with,world,leaders,including,my,meeting,with,vladimir,putin,much,to,discuss,#g20summit,#usa🇺🇸,,,,,,,,
883230130885324000,7/07/2017 7:44,0.0625,I will represent our country well and fight for its interests! Fake News Media will never cover me accurately but who cares! We will #MAGA!,i,will,represent,our,country,well,and,fight,for,its,interests,fake,news,media,will,never,cover,me,accurately,but,who,cares,we,will,#maga,,,,
883444736849305000,7/07/2017 21:56,0,Thank you! “Trump’s Defining Speech” WSJ Editorial: https://t.co/YuDgVfRroR https://t.co/T0R4u4IHDJ,thank,you,trumps,defining,speech,wsj,editorial,http://...,http://...,,,,,,,,,,,,,,,,,,,,
883469033059864000,7/07/2017 23:33,0.55625,"Great first day with world leaders at the #G20Summit here in Hamburg, Germany. Looking forward to day two! #USA https://t.co/bLKgZKQemw",great,first,day,with,world,leaders,at,the,#g20summit,here,in,hamburg,germany,looking,forward,to,day,two,#usa,http://...,,,,,,,,,
883751888491098000,8/07/2017 18:17,0,We will fight the #FakeNews with you! https://t.co/zOMiXTeLJq,we,will,fight,the,#fakenews,with,you,http://...,,,,,,,,,,,,,,,,,,,,,
883752778379792000,8/07/2017 18:20,0.766666667,The #G20Summit was a wonderful success and carried out beautifully by Chancellor Angela Merkel. Thank you!,the,#g20summit,was,a,wonderful,success,and,carried,out,beautifully,by,chancellor,angela,merkel,thank,you,,,,,,,,,,,,,
